星級	短評	情感分析
力荐	这本书陆陆续续做了一年多。书里面有一篇文章，《越生活越辽阔》，最早想书名的时候，从这篇文章出发，想定名为《宽宽的小路》，取荆棘小路天地宽之意，最后改成现在的名字，是觉得，真正重要的，也许不是那条小路，而是那次选择。这当然是一本关于人生选择的书，但并非关于选择的建议，而是关于选择的记录和感受。从北京到大理，从时尚到田园，是一次向后的选择，也是一次通往内心的选择，甚至可以说，这选择本身就是一种召唤——这召唤在人生的中途出现，因为我们总是会在中途，迷失方向。我想，宽宽写这本书，也是在对自己的选择，一次一次进行确认吧。	0.9999931152523982
力荐	一口气读完了，宽宽放着北京好端端日子不过，肝肠寸断地卖了房子搬去大理，当时很多人都不能理解，神鬼难测，久在樊笼里的人很难相信有人单纯为了至情至性改变生活方式，她不但做到了，还引领了一波还田式的潮流。住在大理的日子，回忆思索过往、当下、未来，心更定了。	0.9996960938233624
推荐	书名感觉冒犯，但被身边多位姐姐预定想读啦。彼岸滚仓鼠的我们无疑羡慕宽宽在对物质有了说服自己的知足之后，追寻理想生活，关注孩子，人的自然本质。人届不惑的女性大概普遍有着她相同的困惑焦虑，不知如何安顿。不知这是不是一种趋势，她们不被环境职业和选择束缚，每时每刻全心全意活着，求知与阅读塑造新的生活观念，培养爱好，说话有时显得鸡汤，却没有教诲姿态，尊重倾听他者迥异的选择。人生最难的也就是前路可望穿之际，打包尽收过往，从容的自洽吧。	0.9964906973823379
力荐	真好看，一口气全读完了，楼主很坦诚，房子卖亏了心里堵得慌也直说，非常喜欢这样的中年人！她在南方悠悠哉哉，我在北方自由自在，小城市真是太舒服了，物价低，节奏慢，我今天28买了两斤五花肉，做了五个大懒龙，爽！这作者写出我太多心中所想，除了孩子篇我没得体会，【不做自己不想做的事】我真是想跟她击个掌	0.9878371008015414
推荐	比想象中好看许多！里面写了作者举家从北京搬迁到大理的一些种种以及一部分关于自由和自由职业的思考。最喜欢作者写的关于舒国治那篇，啊，我要去找舒国治的书来看！「自由舒适的日子过久了，与繁忙焦躁的日子过久了，结果一样都是厌倦。」	0.8934523643922264
推荐	江湖戎马也是一生，诗歌田园还是一生。	0.4556807728955874
推荐	“搬去大理，重启生活”这样的念头存在很久了，这里的大理也可置换成其他喜欢的小城。固然换一种生活方式也并非十全十美，看似田园牧歌的日子也有诸多琐碎和无奈。但仍旧是向往啊！	0.9986688436546796
力荐	人到中年，经历了很多，错过了很多，得到了很多，失去了很多，可能沉寂了，也还有着一丝幻想。对于人到中年的女性而言，危机似乎来得更加强烈一些。不管自我评价多自信，工作场合的机会总在离你远去，家庭的压力总是越来越大，该如何自处？如何平衡？人生之路，本来就是不断做出选择的过程。选择过后，怎么让自己不去后悔，不去左顾右盼，不去瞻前顾后。宽宽的书，有自己的经历，有朋友的故事，也有名家的典故，都是对人生真相的探究，对理想执着的追寻。没有指教，只是探讨，拉近了作者与读者的距离，也让她的沉静与勇敢，能深入到你的心里去。	0.9999917354021844
推荐	30岁读到这本书，好像遇到人生的老友，共同聊了一下三十岁的际遇和生活，有一地鸡毛，也有生活的感动，希望我也拥有像作者一样开启新生活的勇气。	0.423093600500826
推荐	女文青的终极归途是庆山，当然得先财务自由。	0.44699819383585127
推荐	不知何故，乐府出的书都和云南、大理有关（就我目前读过的四本而言，连论诗词的都会说我在大理的朋友云云），作者离开都市，去大理定居，这种生活是我一直好奇的，钦佩她的勇气，很高兴看到这样一个人生转道中的心路变化，和现实中的触壁及之后的顿悟。	0.9920128331614949
力荐	老同学写的书。读书时就佩服她的冲劲，热情而不失理智，敏感而又不沉溺其中……从时尚杂志编辑做起，后来开马术俱乐部、工作室，卖掉北京的房子搬到大理，做微信公众号、开咖啡馆……她尝试了生活的多种可能，并笔耕不辍，最重要的是，她慢慢活成自己喜欢的样子。	0.5745694059679787
还行	有两处印象深刻，一个是写丈夫每周末熨衬衫，另一个就是做自己却见不到自己。书里还写了无问的对白，看到时往事历历在目，依然觉得感动。	0.6258223268387442
力荐	原汁原味，一点不隔不装，写出临近中年的女子矛盾重重的内心，时有激烈的思考。一面是“正确而成功”的都市生活，一面是难以遏制地对自由对天然的向往。人要的不是战胜自我，而是认识自我并调和自我。她不是金智英，她是勇敢选择了内心想要的生活的宽宽。	0.33160618734309777
推荐	她所追求的自由，不是為所欲為的自由，而是不想做什麼就不做什麼的自由。擁有選擇和審美能力是這個消費時代的異數和清流，對她嚮往自由、陪伴孩子、減法生活、低慾主義、擯棄社交這幾點心有戚戚焉，何必要去討好不喜歡的人的看法和認同呢？可喜自己也在這條路上。謝@153607885贈書。#讀而靈#050	0.9825989858566473
还行	小半天看完了。事和人，就如身边的你我他。读着不累，不用琢磨，无需思考，在旁跟着叹口气，喝口茶。潲水婆姨，村妇生活，不是正在过着嘛。十年的蓬头垢面，各种折腾各种喘息，不也是修行一场嘛。村居生活过着，吃面的碗还是需要精致的。做个村妇，没啥不好。	0.8928693701895095
推荐	我承认，素来喜欢年长于我的女性。可刚拆开出版社邮给我的书，看到书名，看到上架建议有“女性”标签，顺手扒拉两下后，还是会有第一次看到《我的天才女友》和《你当像鸟飞往你的山》时的错愕感。同理，当最近经历了密度颇高的一系列事寝食难安后，听到了“不要被柴米油盐之事所累，做你自己”的劝慰后，一夜“大梦”初醒后，坐在窗边，打开窗户，让雨后初霁的春风灌入，潜心读下去后，真的醒了。轻妙但不失深邃的语言，将女性人到“半熟”时的种种心路与回眸梳理：男人、孩子、亲人、工作、梦想……例如“最好的父母是保持住了孩子的灵性”；“太多男人在后天压制甚至自绝感性”；“在物欲横流现世中的出世入世”；“女人在爱情和婚姻中的迷失与回归”等等。而我，也明白了：在遍地六便士时，在周遭的人都俯身甚至跪下时，我怎么样抬头看月亮	0.9999988778843721
力荐	文字的节奏相当舒服，是一字一字读完的，像一个志同道合的闺蜜和自己坐在茶盏前话人生。我和作者职业不同，心路却相似。20岁过得风风火火，把想做的都做了，如今35岁，想走到头的那条路慢慢显现，于是开始做减法，只是比做加法要难很多，光靠勇气不行了，更多靠智慧和城府。看了这本书，让我对自己正在和即将要走的路多了一份踏实和底气。感恩遇见你。	0.997418725892943
较差	跟作者三观无法统一，所以不甚认同。	0.3076799379277434
还行	每个人的36岁都不尽相同，原想通过这本书找寻一些共鸣的想法其实是很幼稚的，通过这本书意外Get了舒国治，也算是一种收获吧。	0.9336912330048507
